Concept,Member,Member type,Sort Weight
2234d2e6-9c82-457c-84ad-23e30a251aa4,b95b991a-887a-42f9-914f-db0ea18b1e7f,concept-set,1
2234d2e6-9c82-457c-84ad-23e30a251aa4,eebf4cfb-5cf7-4efa-a860-993677d6cd31,concept-set,2
2234d2e6-9c82-457c-84ad-23e30a251aa4,a6e1be1a-226f-4f59-81f5-eea2ee1ac80d,concept-set,3
2234d2e6-9c82-457c-84ad-23e30a251aa4,55a3f38e-8758-483a-9a5f-d6273f5e6803,concept-set,4
2234d2e6-9c82-457c-84ad-23e30a251aa4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,5
2234d2e6-9c82-457c-84ad-23e30a251aa4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,6
