Concept,Member,Member type,Sort Weight
b8736b12-7826-40e6-8841-815f06d6b2c4,a8a65f12-1350-11df-a1f1-0026b9348838,concept-set,1
b8736b12-7826-40e6-8841-815f06d6b2c4,a8a65d5a-1350-11df-a1f1-0026b9348838,concept-set,2
b8736b12-7826-40e6-8841-815f06d6b2c4,a8a65e36-1350-11df-a1f1-0026b9348838,concept-set,3
b8736b12-7826-40e6-8841-815f06d6b2c4,a8a65fee-1350-11df-a1f1-0026b9348838,concept-set,4
b8736b12-7826-40e6-8841-815f06d6b2c4,a8a47ca6-1350-11df-a1f1-0026b9348838,concept-set,5
b8736b12-7826-40e6-8841-815f06d6b2c4,b72fa772-19a9-4386-8185-6491ab97e97e,concept-set,6
b8736b12-7826-40e6-8841-815f06d6b2c4,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,7
b8736b12-7826-40e6-8841-815f06d6b2c4,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,8
