Concept,Member,Member type,Sort Weight
76764d46-3927-4e8f-a08d-0b8326d84ea6,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,1
76764d46-3927-4e8f-a08d-0b8326d84ea6,aaa420c8-5f0e-467f-af3f-49ed6d84752e,concept-set,2
76764d46-3927-4e8f-a08d-0b8326d84ea6,72809773-f6ca-4471-8161-fe84c49ea945,concept-set,3
76764d46-3927-4e8f-a08d-0b8326d84ea6,114f9886-ddaa-460e-b2c8-64404cba2d02,concept-set,4
76764d46-3927-4e8f-a08d-0b8326d84ea6,033215b6-e9b2-4c26-b59b-69634b634367,concept-set,5
76764d46-3927-4e8f-a08d-0b8326d84ea6,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,6
,,,
