Concept,Member,Member type,Sort Weight
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,a8a007a2-1350-11df-a1f1-0026b9348838,concept-set,1
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,5ba94f35-84a6-4b55-9d03-1f65d3f8d7b0,concept-set,2
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,465941a9-ac10-4e81-ab36-1bf83eaf4ed8,concept-set,3
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,c69e6dfd-7b03-40ae-a902-3cf72c79c136,concept-set,4
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,f1c5abf6-4710-4ec7-8160-4b4adbf42c91,concept-set,5
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,1215d4c3-b371-481f-9b77-d54e9eeed5f4,concept-set,6
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,7
dce6df10-b8e1-4cd3-b2f6-8b24588c45bb,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,8
