Concept,Member,Member type,Sort Weight
a8a37086-1350-11df-a1f1-0026b9348838,8454e61e-0802-416a-9209-62d779d7e016,concept-set,10
a8a37086-1350-11df-a1f1-0026b9348838,e012caff-01e4-49d3-b918-1b69cbda9306,concept-set,11
a8a37086-1350-11df-a1f1-0026b9348838,21ca3adc-6217-44b5-8f4b-380fce2cc3f6,concept-set,12
a8a37086-1350-11df-a1f1-0026b9348838,6b0c64cd-b206-4ac5-92e4-ecb5b34c7d28,concept-set,13
a8a37086-1350-11df-a1f1-0026b9348838,0917834d-9fea-4ff7-b1b4-2b306ab1e7a3,concept-set,14
a8a37086-1350-11df-a1f1-0026b9348838,8f435457-3d4f-4831-9f4c-b8dec1550137,concept-set,15
a8a37086-1350-11df-a1f1-0026b9348838,a89ece64-1350-11df-a1f1-0026b9348838,concept-set,16
