Uuid,Void/Retire,Name,Concept Drug,Concept Dosage Form, Strength
478410e8-5fcd-46c3-a0c9-e893dbddc7c1,,ABIRATERONE 250mg TAB,0a3d1ea2-0b61-48d7-826b-60ec6cf04171,TABLET ,250mg
5b1bdf82-a945-444c-8f24-69643ebbc839,,ALLOPURINOL 100MG TAB,6d0c7405-5ef4-4469-b6ba-f18f108ea6f9,TABLET,100mg
f6038bf3-97b5-4ae6-ae34-fd46d9180ea1,,ARIPIPRAZOLE 15mg TAB,96d438db-360a-451a-a114-df8f8e1ef65d,TABLET,15mg
ff276a39-159b-414d-943c-bf22862c2694,,AZATHIOPRINE 50mg TAB,fe88a6fa-db8f-4bf7-b18c-1a36f60b3f75,TABLET,50mg
