Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
9313b80f-9eca-4186-8f45-38da8eaa5417,,MCL/CIEL:164901,REASON FOR CHANGING FAMILY PLANNING METHOD,,,,,,Reason for changing family planning method,,,Question,Coded,9c1066e2-74f6-47ec-8873-0507434c4d25;a89de2d8-1350-11df-a1f1-0026b9348838;54551201-548b-40a8-a5ac-18cdc4c2fb92,
54551201-548b-40a8-a5ac-18cdc4c2fb92,,MCL/CIEL:163494,CHANGE CONTRACEPTIVE METHOD,,,,,,"A client's reason for Family Planning service visit, that is to change the current contraceptive method to the other preferable one.",,,Misc,N/A,,
04dfb521-9532-45ed-b269-d231ca60891c,,MCL/CIEL:160693,METHOD OF CONTRACEPTION FAILURE,,,,,,The failure of a contraceptive methods to prevent pregnancy. Different methods have different failure rates.,,,Question,Coded,a8a714c0-1350-11df-a1f1-0026b9348838;a8a71330-1350-11df-a1f1-0026b9348838;a899e0ac-1350-11df-a1f1-0026b9348838,
