Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
5b4b4a6c-7975-4544-af7f-7f60dacd933f,,ICD-11-WHO:XM85A9,LENACAPAVIR,,,SUNLECA,,,Long-acting antiretroviral medication used to treat HIV-1 infection.,,,Drug,N/A,,
64d28f8e-ccd7-4ada-97ff-9e6820ba4fe2,,,LONG ACTING PRE EXPOSURE PROPHYLAXIS,,,LONG ACTING PREP,,,"Long-acting PrEP (Pre-Exposure Prophylaxis) is HIV prevention that uses medications designed to protect against HIV infection for weeks or months at a time, instead of requiring a daily pill.",,,Misc,N/A,,
