Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
a8a05cfc-1350-11df-a1f1-0026b9348838,,MCL/CIEL:160870,FOUR TIMES A DAY,,,QID,,,General description of frequency: four times a day.,,,Frequency,N/A,,
a8a35a60-1350-11df-a1f1-0026b9348838,,,STAT,,,,,,"Stat, an abbreviation of the Latin statim, ""immediately"", often used in medical contexts",,,Frequency,N/A,,
