Uuid,Void/Retire,Same as mappings,Fully specified name:en,Fully specified name:fr,Fully specified name:es,Short name:en,Short name:fr,Short name:es,Description:en,Description:fr,Description:es,Data class,Data type,Answers,Units
72178bbe-a3d2-41ca-a634-3324b71d9bc6,,ICHI;NAN.BA.BJ,"ULTRASOUND, RENAL",,,RENAL ULTRASOUND,,,"Ultrasound examination of the renal system, which includes the kidneys, bladder, and ureters",,,Radiology/Imaging Procedure,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838,
a8aff48c-1350-11df-a1f1-0026b9348838,,MCL/CIEL:159618,OBSTETRIC ULTRASOUND,,,PREGNANCY ULTRASOUND;US OBSTETRIC,,,"A pregnancy ultrasound is an imaging test that uses sound waves to see how a fetus is developing in the womb. It is also used to check the female pelvic organs during pregnancy.",,,Radiology/Imaging Procedure,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838,
a8981af6-1350-11df-a1f1-0026b9348838,,MCL/CIEL:845;ICHI:PAK.BA.BJ,"ULTRASOUND, ABDOMEN",,,ABDOMINAL ULTRASOUND;ULTRASOUND OF ABDOMEN,,,Ultrasound examination of the abdomen.,,,Radiology/Imaging Procedure,Coded,a899e7b4-1350-11df-a1f1-0026b9348838;a899e890-1350-11df-a1f1-0026b9348838;a8aaf3e2-1350-11df-a1f1-0026b9348838;a896464a-1350-11df-a1f1-0026b9348838;a8a66ca0-1350-11df-a1f1-0026b9348838,
